worker	brief_self_control_survey_2	brief_self_control_survey_3	brief_self_control_survey_4	brief_self_control_survey_5	brief_self_control_survey_6	brief_self_control_survey_7	brief_self_control_survey_8	brief_self_control_survey_9	brief_self_control_survey_10	brief_self_control_survey_11	brief_self_control_survey_12	brief_self_control_survey_13	brief_self_control_survey_14
s297	3.0	2.0	3.0	3.0	2.0	2.0	1.0	3.0	3.0	3.0	5.0	4.0	4.0
s301	4.0	3.0	4.0	4.0	4.0	4.0	2.0	5.0	4.0	4.0	5.0	3.0	4.0
s303	4.0	4.0	5.0	5.0	5.0	3.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0
s305	2.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	3.0	5.0	2.0	4.0	4.0
s307	3.0	4.0	5.0	4.0	3.0	3.0	3.0	2.0	3.0	5.0	5.0	4.0	5.0
s309	5.0	5.0	5.0	5.0	2.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0
s313	4.0	5.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s314	3.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	2.0	4.0	4.0
s316	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0
s326	4.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0
s327	5.0	3.0	4.0	2.0	2.0	4.0	2.0	3.0	5.0	4.0	5.0	4.0	4.0
s328	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	1.0	5.0	5.0
s329	4.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0
s332	4.0	3.0	3.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0
s333	3.0	4.0	4.0	5.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0
s334	3.0	3.0	5.0	5.0	4.0	3.0	3.0	2.0	4.0	5.0	5.0	5.0	5.0
s336	2.0	4.0	2.0	5.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	5.0	4.0
s339	4.0	4.0	4.0	3.0	4.0	4.0	4.0	2.0	2.0	5.0	5.0	5.0	5.0
s343	2.0	1.0	2.0	3.0	4.0	2.0	1.0	1.0	1.0	3.0	2.0	2.0	4.0
s346	4.0	3.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
s351	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
s352	5.0	5.0	3.0	4.0	5.0	5.0	2.0	2.0	5.0	2.0	5.0	2.0	5.0
s357	4.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	5.0	5.0	4.0	4.0	4.0
s359	4.0	4.0	5.0	5.0	5.0	4.0	3.0	3.0	4.0	5.0	3.0	5.0	4.0
s365	2.0	2.0	4.0	4.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	4.0
s368	4.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	5.0	3.0	4.0	4.0	5.0
s369	4.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0
s372	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0
s373	2.0	2.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0
s376	3.0	3.0	4.0	4.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	3.0	4.0
s380	4.0	5.0	5.0	5.0	5.0	1.0	5.0	2.0	5.0	5.0	4.0	5.0	5.0
s383	4.0	2.0	3.0	4.0	4.0	2.0	2.0	3.0	2.0	3.0	4.0	4.0	4.0
s388	4.0	3.0	4.0	4.0	5.0	3.0	3.0	3.0	3.0	4.0	5.0	4.0	4.0
s391	3.0	4.0	2.0	4.0	3.0	3.0	1.0	1.0	2.0	4.0	5.0	3.0	4.0
s396	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0
s397	4.0	4.0	3.0	5.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0
s402	3.0	4.0	2.0	3.0	4.0	3.0	2.0	2.0	3.0	3.0	2.0	4.0	4.0
s403	2.0	1.0	1.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0
s408	2.0	1.0	1.0	2.0	3.0	1.0	3.0	1.0	3.0	4.0	2.0	4.0	3.0
s409	4.0	4.0	4.0	5.0	5.0	4.0	5.0	3.0	5.0	4.0	4.0	5.0	5.0
s411	5.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	5.0
s420	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0
s425	4.0	4.0	3.0	2.0	2.0	2.0	1.0	1.0	2.0	3.0	3.0	3.0	4.0
s427	4.0	2.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0
s429	5.0	4.0	5.0	4.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0
s430	5.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	4.0	5.0
s434	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	5.0	5.0	4.0	4.0
s441	2.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	4.0
s446	4.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0
s449	2.0	2.0	3.0	4.0	2.0	3.0	1.0	2.0	4.0	4.0	4.0	1.0	5.0
s450	4.0	3.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	5.0	2.0	4.0	4.0
s451	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	5.0	5.0	4.0	5.0	4.0
s453	4.0	4.0	5.0	4.0	2.0	2.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0
s456	4.0	3.0	2.0	5.0	2.0	1.0	4.0	4.0	2.0	4.0	4.0	2.0	2.0
s459	2.0	1.0	2.0	4.0	2.0	2.0	1.0	1.0	1.0	2.0	3.0	2.0	3.0
s461	4.0	3.0	4.0	3.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	4.0
s462	3.0	2.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	3.0	3.0	5.0
s467	3.0	4.0	5.0	5.0	5.0	3.0	4.0	2.0	5.0	5.0	3.0	5.0	5.0
s468	5.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	5.0
s469	4.0	3.0	3.0	4.0	4.0	3.0	3.0	2.0	4.0	5.0	4.0	5.0	5.0
s471	2.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	4.0
