worker	mindful_attention_awareness_survey_2	mindful_attention_awareness_survey_3	mindful_attention_awareness_survey_4	mindful_attention_awareness_survey_5	mindful_attention_awareness_survey_6	mindful_attention_awareness_survey_7	mindful_attention_awareness_survey_8	mindful_attention_awareness_survey_9	mindful_attention_awareness_survey_10	mindful_attention_awareness_survey_11	mindful_attention_awareness_survey_12	mindful_attention_awareness_survey_13	mindful_attention_awareness_survey_14	mindful_attention_awareness_survey_15	mindful_attention_awareness_survey_16
s402	3.0	5.0	3.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	2.0	5.0	3.0	4.0	5.0
s403	5.0	3.0	2.0	2.0	4.0	1.0	2.0	3.0	3.0	3.0	1.0	4.0	2.0	1.0	2.0
s408	6.0	3.0	5.0	2.0	6.0	6.0	2.0	5.0	4.0	5.0	3.0	5.0	6.0	4.0	6.0
s409	6.0	6.0	4.0	4.0	4.0	2.0	4.0	5.0	6.0	5.0	4.0	6.0	4.0	5.0	6.0
s411	5.0	5.0	5.0	5.0	6.0	5.0	6.0	5.0	6.0	6.0	5.0	6.0	5.0	5.0	5.0
s420	5.0	5.0	5.0	3.0	3.0	1.0	3.0	4.0	5.0	4.0	3.0	6.0	2.0	4.0	4.0
s425	4.0	3.0	3.0	2.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	5.0	1.0	2.0	4.0
s427	4.0	5.0	5.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0
s429	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
s430	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
s434	5.0	5.0	5.0	3.0	4.0	2.0	4.0	5.0	4.0	5.0	3.0	6.0	3.0	5.0	5.0
s441	6.0	2.0	3.0	6.0	6.0	1.0	2.0	5.0	5.0	3.0	2.0	6.0	2.0	2.0	6.0
s446	4.0	5.0	4.0	3.0	5.0	3.0	4.0	4.0	5.0	5.0	6.0	6.0	3.0	5.0	6.0
s449	3.0	4.0	4.0	2.0	2.0	2.0	4.0	4.0	5.0	3.0	2.0	6.0	3.0	4.0	4.0
s450	5.0	5.0	4.0	4.0	5.0	2.0	5.0	6.0	5.0	5.0	2.0	5.0	2.0	5.0	5.0
s451	5.0	6.0	5.0	5.0	5.0	3.0	5.0	6.0	5.0	5.0	4.0	6.0	4.0	5.0	6.0
s453	3.0	5.0	5.0	5.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	6.0
