,subj_idx,response,rt
adaptive_n_back_1_902,1,1.0,0.581
adaptive_n_back_1_904,1,0.0,0.416
adaptive_n_back_1_906,1,1.0,0.686
adaptive_n_back_1_908,1,1.0,0.621
adaptive_n_back_1_910,1,1.0,0.452
adaptive_n_back_1_912,1,1.0,0.517
adaptive_n_back_1_914,1,1.0,0.593
adaptive_n_back_1_916,1,1.0,0.525
adaptive_n_back_1_918,1,0.0,0.702
adaptive_n_back_1_920,1,1.0,0.374
adaptive_n_back_1_922,1,1.0,0.358
adaptive_n_back_1_924,1,1.0,0.462
adaptive_n_back_1_926,1,1.0,0.552
adaptive_n_back_1_928,1,0.0,0.434
adaptive_n_back_1_930,1,0.0,0.38
adaptive_n_back_1_932,1,1.0,0.605
adaptive_n_back_1_934,1,0.0,0.347
adaptive_n_back_2_026,2,1.0,0.777
adaptive_n_back_2_028,2,1.0,0.769
adaptive_n_back_2_030,2,1.0,0.417
adaptive_n_back_2_032,2,1.0,0.467
adaptive_n_back_2_034,2,1.0,0.408
adaptive_n_back_2_036,2,1.0,0.537
adaptive_n_back_2_038,2,1.0,0.397
adaptive_n_back_2_040,2,1.0,0.389
adaptive_n_back_2_042,2,1.0,0.461
adaptive_n_back_2_044,2,1.0,0.442
adaptive_n_back_2_046,2,1.0,0.593
adaptive_n_back_2_048,2,1.0,0.667
adaptive_n_back_2_050,2,1.0,0.653
adaptive_n_back_2_052,2,1.0,0.484
adaptive_n_back_2_054,2,1.0,0.452
adaptive_n_back_2_056,2,1.0,0.57
adaptive_n_back_2_058,2,0.0,0.447
adaptive_n_back_2_060,2,1.0,0.768
adaptive_n_back_2_062,2,1.0,0.503
adaptive_n_back_2_064,2,1.0,0.363
adaptive_n_back_2_066,2,1.0,0.433
adaptive_n_back_2_068,2,0.0,0.617
adaptive_n_back_2_168,2,1.0,0.585
adaptive_n_back_2_170,2,1.0,0.521
adaptive_n_back_2_172,2,1.0,0.516
adaptive_n_back_2_174,2,1.0,0.514
adaptive_n_back_2_176,2,1.0,0.449
adaptive_n_back_2_178,2,1.0,0.472
adaptive_n_back_2_180,2,1.0,0.415
adaptive_n_back_2_182,2,1.0,0.428
adaptive_n_back_2_184,2,1.0,0.547
adaptive_n_back_2_186,2,1.0,0.355
adaptive_n_back_2_188,2,1.0,0.44
adaptive_n_back_2_190,2,1.0,0.378
adaptive_n_back_2_192,2,1.0,0.416
adaptive_n_back_2_194,2,1.0,0.778
adaptive_n_back_2_196,2,1.0,0.587
adaptive_n_back_2_198,2,1.0,0.452
adaptive_n_back_2_200,2,1.0,0.543
adaptive_n_back_2_202,2,1.0,0.533
adaptive_n_back_2_204,2,0.0,0.445
adaptive_n_back_2_206,2,1.0,0.349
adaptive_n_back_2_208,2,0.0,0.395
adaptive_n_back_2_210,2,1.0,0.363
adaptive_n_back_2_310,2,1.0,0.586
adaptive_n_back_2_312,2,1.0,0.44
adaptive_n_back_2_314,2,1.0,0.519
adaptive_n_back_2_316,2,1.0,0.391
adaptive_n_back_2_318,2,1.0,0.379
adaptive_n_back_2_320,2,1.0,0.383
adaptive_n_back_2_322,2,1.0,0.529
adaptive_n_back_2_324,2,0.0,0.351
adaptive_n_back_2_326,2,1.0,0.355
adaptive_n_back_2_328,2,1.0,0.53
adaptive_n_back_2_330,2,1.0,0.258
adaptive_n_back_2_332,2,1.0,0.452
adaptive_n_back_2_334,2,0.0,0.431
adaptive_n_back_2_336,2,1.0,0.349
adaptive_n_back_2_338,2,1.0,0.681
adaptive_n_back_2_340,2,0.0,0.388
adaptive_n_back_2_342,2,1.0,0.388
adaptive_n_back_2_344,2,1.0,0.552
adaptive_n_back_2_346,2,0.0,0.342
adaptive_n_back_2_348,2,1.0,0.359
adaptive_n_back_2_350,2,1.0,0.352
adaptive_n_back_2_352,2,1.0,0.43
adaptive_n_back_2_356,2,1.0,0.453
adaptive_n_back_2_358,2,1.0,0.369
adaptive_n_back_2_360,2,1.0,0.355
adaptive_n_back_2_362,2,1.0,0.541
adaptive_n_back_2_364,2,1.0,0.401
adaptive_n_back_2_366,2,1.0,0.485
adaptive_n_back_2_368,2,1.0,0.468
adaptive_n_back_2_370,2,1.0,0.486
adaptive_n_back_2_372,2,1.0,0.361
adaptive_n_back_2_374,2,1.0,0.385
adaptive_n_back_2_376,2,1.0,0.49
adaptive_n_back_2_378,2,1.0,0.379
adaptive_n_back_2_380,2,1.0,0.448
adaptive_n_back_2_382,2,1.0,0.384
adaptive_n_back_2_384,2,1.0,0.462
adaptive_n_back_2_386,2,1.0,0.466
adaptive_n_back_2_388,2,1.0,0.466
adaptive_n_back_2_390,2,1.0,0.468
adaptive_n_back_2_392,2,1.0,0.341
adaptive_n_back_2_394,2,1.0,0.385
