Variable Name,Short Name
sensation_seeking_survey.thrill_adventure_seeking,SSSTHRIL
stop_signal.EZ_drift,SSZD
stop_signal.EZ_non_decision,SSZN
stop_signal.EZ_thresh,SSZT
stroop.acc,STRAC
stroop.avg_rt,STRAVRT
stroop.avg_rt_error,STRAVRTE
stroop.congruency_seq_rt,STRCGS
stroop.congruency_seq_acc,STRCGSAC
stroop.EZ_drift_congruent,STRCGZD
stroop.EZ_non_decision_congruent,STRCGZN
stroop.EZ_thresh_congruent,STRCGZT
stroop.EZ_drift_incongruent,STRINCZD
stroop.EZ_non_decision_incongruent,STRINCZN
stroop.EZ_thresh_incongruent,STRINCZT
stroop.std_rt,STRDRT
stroop.std_rt_error,STRDRTE
stroop.missed_percent,STRMSPRC
stroop.post_error_slowing,STRPES
stroop.stroop_acc,STRSTRAC
stroop.stroop_rt,STRSTRRT
stroop.stroop_EZ_drift,STRSTRZD
stroop.stroop_EZ_thresh,STRSTRZT
stroop.stroop_EZ_non_decision,STRSTRZN
motor_selective_stop_signal.go_acc,MOSGAC
motor_selective_stop_signal.go_rt_std,MOSGDRT
motor_selective_stop_signal.go_rt_std_error,MOSGDRTE
motor_selective_stop_signal.go_rt,MOSGRT
motor_selective_stop_signal.go_rt_error,MOSGRTE
motor_selective_stop_signal.stop_acc,MOSPAC
motor_selective_stop_signal.stop_rt_error_std,MOSPDRTE
motor_selective_stop_signal.stop_rt_error,MOSPRT
motor_selective_stop_signal.SS_delay,MOSSSDLY
motor_selective_stop_signal.SSRT,MOSSSRT
motor_selective_stop_signal.EZ_drift,MOSZD
motor_selective_stop_signal.EZ_non_decision,MOSZN
motor_selective_stop_signal.EZ_thresh,MOSZT
motor_selective_stop_signal.selective_proactive_control,MOSSPC
motor_selective_stop_signal.reactive_control,MOSREC
stim_selective_stop_signal.go_acc,STSGAC
stim_selective_stop_signal.go_rt_std,STSGDRT
stim_selective_stop_signal.go_rt_std_error,STSGDRTE
stim_selective_stop_signal.go_rt,STSGRT
stim_selective_stop_signal.go_rt_error,STSGRTE
stim_selective_stop_signal.stop_acc,STSPAC
stim_selective_stop_signal.stop_rt_error_std,STSPDRTE
